EW2019;
Amtliches Endergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wähler/-innen;;Ungültige;;Gültige;;Christlich Demokratische Union Deutschlands;;Sozialdemokratische Partei Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;DIE LINKE;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;Freie Demokratische Partei;;FREIE WÄHLER;;Piratenpartei Deutschland;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Nationaldemokratische Partei Deutschlands;;Familien-Partei Deutschlands;;Ökologisch-Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;Bayernpartei;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Partei für Tierschutz – DAS ORIGINAL;;Allianz für Menschenrechte, Tier- und Naturschutz;;Bündnis C - Christen für Deutschland;;Bündnis für Innovation & Gerechtigkeit;;Bündnis Grundeinkommen - Die Grundeinkommenspartei;;Demokratie DIREKT!;;Demokratie in Europa - DiEM25;;DER DRITTE WEG;;Die Grauen – Für alle Generationen;;DIE RECHTE – Partei für Volksabstimmung, Souveränität und Heimatschutz;;Die Violetten;;Europäische Partei LIEBE;;Feministische Partei DIE FRAUEN;;Graue Panther;;LKR - Bernd Lucke und die Liberal-Konservativen Reformer;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Neue Liberale – Die Sozialliberalen;;Ökologische Linke;;Partei der Humanisten;;PARTEI FÜR DIE TIERE DEUTSCHLAND;;Partei für Gesundheitsforschung;;Volt Deutschland;;Übrige;;
01056;Pinneberg;01;239300;236519;150689;108214;1005;784;149684;107430;39119;36411;25994;34766;43260;13327;5480;4795;11681;7628;;;9465;4288;1102;466;1254;1554;2049;1257;182;590;1119;710;691;237;3258;526;179;203;87;46;54;97;22;29;15;23;352;;241;;152;;194;;114;;104;;452;;31;;313;;68;;119;;110;;179;;381;;183;;94;;83;;99;;222;;219;;169;;794;;;477;
01057;Plön;01;105085;104325;66925;48942;424;374;66501;48568;18150;16996;11683;15663;19797;6238;2067;1793;4846;3390;;;3618;1750;559;235;582;591;900;735;100;217;564;350;231;80;1365;226;61;76;37;12;25;26;24;6;9;11;172;;104;;65;;20;;52;;37;;142;;7;;148;;24;;48;;70;;54;;136;;83;;57;;22;;44;;81;;149;;76;;292;;;173;
01058;Rendsburg-Eckernförde;01;218614;216954;136614;99710;793;765;135821;98945;38936;36318;22593;31266;39806;11936;4221;3566;9206;6678;;;7544;3652;1001;399;1302;1363;2091;1463;195;341;1205;691;573;188;2993;439;126;184;71;22;36;50;29;29;15;20;317;;231;;95;;87;;131;;71;;327;;18;;282;;48;;110;;96;;128;;320;;153;;97;;64;;123;;201;;269;;178;;532;;;340;
01059;Schleswig-Flensburg;01;159674;156854;95525;66056;618;519;94907;65537;27527;25375;15339;19876;28887;7527;3123;2581;5705;4273;;;4739;2045;1087;501;841;828;1474;873;103;225;997;574;361;120;1880;289;88;133;53;19;24;28;20;17;11;18;256;;158;;55;;28;;92;;71;;170;;12;;187;;45;;80;;103;;96;;202;;68;;61;;37;;71;;117;;199;;131;;409;;;235;
01060;Segeberg;01;212630;209166;126584;88572;766;606;125818;87966;34078;32123;21105;27786;33886;9282;4597;3651;10296;6364;;;8446;3236;1407;460;1065;1360;1937;1159;212;457;1403;811;590;187;2552;407;159;201;79;22;43;38;18;25;13;15;304;;216;;143;;71;;105;;85;;309;;17;;316;;50;;105;;122;;165;;351;;144;;92;;53;;93;;168;;223;;147;;653;;;382;
01061;Steinburg;01;104839;105504;60505;44391;387;382;60118;44009;17285;16692;9848;12986;16150;4549;2159;2100;4675;2563;;;3682;1981;593;374;613;767;978;508;123;311;598;428;200;83;1272;290;96;96;40;20;21;25;11;5;10;8;159;;109;;76;;42;;41;;34;;99;;11;;121;;23;;58;;83;;47;;146;;53;;49;;25;;47;;97;;96;;61;;287;;;223;
01062;Stormarn;01;188732;186619;123481;94016;617;759;122864;93257;32902;31816;19924;29581;36077;12132;4138;3803;9778;6934;;;8459;3905;938;370;834;1214;1607;1152;157;384;1078;669;674;205;2403;468;112;143;71;37;51;43;11;10;13;24;263;;187;;103;;98;;102;;67;;300;;13;;260;;41;;84;;109;;136;;291;;141;;75;;55;;107;;168;;179;;148;;710;;;367;
01;Schleswig-Holstein;99;2269361;2257089;1354037;978082;8369;7697;1345668;970385;353020;334121;230014;309934;391868;120245;50345;43302;100258;66109;;;79538;36394;11907;5072;12253;14790;19767;12835;2096;4996;12056;7482;5844;2059;31467;5648;1417;1920;769;330;514;566;314;331;176;221;3216;;2154;;1262;;1112;;1267;;829;;3715;;208;;2682;;560;;1079;;1266;;1505;;3167;;1407;;1002;;621;;1200;;2225;;2359;;1680;;7529;;;4030;
;
02000;Hamburg, Freie und Hansestadt;02;1302548;1283323;805905;558277;9473;5406;796432;552871;140966;135780;157840;186638;247719;95169;55375;47630;51649;33239;;;44355;20513;3392;1641;6478;12284;10973;5443;877;2250;2551;1524;5504;1910;30138;5083;678;891;518;122;520;567;353;261;88;99;1403;;1035;;801;;2640;;1285;;503;;6375;;144;;1087;;302;;569;;666;;950;;1530;;990;;763;;723;;1692;;1601;;1154;;790;;9455;;;1827;
02;Hamburg;99;1302548;1283323;805905;558277;9473;5406;796432;552871;140966;135780;157840;186638;247719;95169;55375;47630;51649;33239;;;44355;20513;3392;1641;6478;12284;10973;5443;877;2250;2551;1524;5504;1910;30138;5083;678;891;518;122;520;567;353;261;88;99;1403;;1035;;801;;2640;;1285;;503;;6375;;144;;1087;;302;;569;;666;;950;;1530;;990;;763;;723;;1692;;1601;;1154;;790;;9455;;;1827;
;
03101;Braunschweig, Stadt;03;190413;194345;122195;99682;573;1050;121622;98632;27475;30751;24209;33036;34110;14586;5764;5350;8329;5550;;;6281;2744;598;306;1159;2310;1782;1155;177;382;611;353;765;269;4831;1045;107;134;59;18;33;57;64;64;18;26;284;;151;;141;;323;;122;;83;;567;;13;;190;;34;;82;;93;;149;;213;;276;;73;;82;;99;;338;;194;;131;;1612;;;496;
03102;Salzgitter, Stadt;03;72737;75270;37215;34611;393;483;36822;34128;9268;12110;9457;13974;5440;1979;1759;1564;5519;1976;;;1538;585;263;193;204;294;637;366;149;338;287;154;102;37;796;126;43;66;35;19;10;18;9;11;10;8;138;;74;;48;;175;;19;;14;;50;;12;;72;;39;;20;;47;;50;;65;;69;;18;;12;;19;;56;;77;;78;;144;;;310;
03103;Wolfsburg, Stadt;03;89191;92913;50390;38340;324;254;50066;38086;14495;14312;12056;13164;8970;3298;1811;1599;5105;2512;;;2482;871;276;116;359;427;820;340;124;333;337;162;267;54;1153;481;77;82;49;9;37;24;28;16;7;6;152;;86;;152;;70;;26;;33;;102;;11;;94;;19;;24;;42;;64;;116;;69;;36;;25;;23;;70;;93;;89;;217;;;280;
03151;Gifhorn;03;136223;134817;82780;64411;507;597;82273;63814;26026;26674;17360;20893;15740;5667;2629;2237;8047;3108;;;3943;1371;519;219;529;764;1289;684;144;407;614;324;363;103;1855;451;89;101;98;20;21;20;19;13;10;14;272;;159;;584;;74;;46;;60;;181;;14;;159;;52;;59;;54;;91;;166;;90;;61;;32;;35;;128;;154;;151;;356;;;744;
03153;Goslar;03;107632;112117;62885;43027;495;290;62390;42737;17949;15648;15236;15283;10754;3425;2449;1855;6409;2905;;;3052;1312;340;167;385;470;1142;537;212;262;415;173;244;68;1550;275;94;90;68;19;16;14;13;20;9;8;241;;107;;45;;87;;70;;38;;133;;9;;133;;61;;35;;62;;70;;114;;89;;38;;15;;38;;111;;136;;111;;310;;;206;
03154;Helmstedt;03;73182;74543;42754;31577;326;284;42428;31293;13022;11999;10514;10950;6885;2673;1470;1229;3895;1688;;;2101;760;274;130;282;351;806;436;208;441;341;148;197;43;963;206;67;54;50;11;16;8;10;13;6;9;161;;69;;57;;29;;32;;25;;91;;3;;68;;27;;11;;33;;51;;115;;68;;29;;16;;29;;61;;99;;80;;167;;;144;
03155;Northeim;03;107594;110332;60355;53172;361;561;59994;52611;16764;18578;16431;21108;11405;4211;1930;1812;4877;2894;;;2959;1342;352;195;335;505;852;550;163;359;399;277;199;61;1354;229;78;95;60;20;14;26;12;14;10;18;201;;112;;128;;59;;76;;29;;110;;6;;114;;30;;41;;57;;71;;101;;65;;40;;21;;47;;68;;89;;98;;237;;;317;
03157;Peine;03;103605;102763;64184;48159;418;400;63766;47759;16993;17054;16669;18813;12304;4086;2229;1757;5936;2520;;;2931;1006;388;166;412;499;1119;581;142;296;507;243;251;55;1513;229;88;93;50;23;13;16;15;17;7;4;211;;120;;100;;191;;53;;28;;128;;16;;137;;37;;43;;50;;70;;159;;69;;45;;23;;37;;101;;154;;105;;322;;;301;
03158;Wolfenbüttel;03;96324;97307;62070;51152;402;456;61668;50696;17032;18416;14374;17919;13082;5291;2185;1740;5512;3174;;;3050;1296;330;194;454;558;1031;650;141;387;357;198;256;69;1815;401;66;96;51;13;15;27;10;14;8;10;193;;95;;50;;92;;37;;31;;129;;9;;105;;25;;31;;46;;76;;127;;125;;51;;17;;29;;95;;128;;80;;328;;;243;
03159;Göttingen;03;253354;257883;152703;129655;745;1196;151958;128459;38912;42274;33889;45744;38410;16859;6652;6612;10309;6451;;;6862;3078;1352;796;1010;1800;2055;1324;276;714;834;536;666;277;4226;962;190;237;129;59;73;119;50;69;16;20;375;;238;;160;;165;;236;;88;;834;;27;;280;;64;;131;;122;;158;;221;;206;;93;;67;;419;;393;;231;;187;;1352;;;528;
03241;Region Hannover;03;844533;850194;540175;413626;2752;3664;537423;409962;132337;138479;112047;140049;140558;55403;23979;19306;43422;23741;;;26322;10885;3071;1580;4331;5228;7842;4257;726;1983;2872;1592;2454;794;15886;2942;682;787;415;176;290;288;229;179;56;80;1320;;779;;859;;1842;;524;;311;;2130;;101;;1080;;276;;333;;403;;621;;1048;;558;;406;;260;;650;;1166;;865;;761;;3611;;;2213;
03251;Diepholz;03;169375;168403;105348;83526;681;707;104667;82819;33709;33554;21150;25742;22484;8689;3533;3130;7850;4320;;;6581;3023;710;366;601;845;1418;1015;155;424;665;484;524;150;2189;351;131;191;59;31;24;37;19;14;12;11;296;;136;;98;;80;;98;;59;;195;;22;;168;;51;;66;;67;;117;;175;;91;;73;;25;;81;;175;;190;;163;;427;;;442;
03252;Hameln-Pyrmont;03;116288;118875;67945;58476;413;633;67532;57843;19200;21213;15755;21083;13908;5457;2609;2193;6648;3518;;;3180;1337;424;216;434;659;971;689;119;364;441;305;225;66;1273;204;109;136;67;27;15;28;8;13;11;16;249;;150;;110;;102;;46;;38;;141;;15;;137;;47;;47;;53;;119;;133;;68;;40;;22;;41;;79;;131;;87;;280;;;319;
03254;Hildesheim;03;217020;219042;135482;106129;663;841;134819;105288;37713;38598;31123;37408;30585;11780;5024;4195;11272;5842;;;6048;2145;747;321;773;1123;2050;1154;260;614;879;457;555;186;3216;529;209;225;132;51;54;40;25;23;20;17;410;;215;;224;;165;;133;;73;;307;;35;;253;;104;;84;;99;;143;;232;;131;;91;;46;;113;;238;;236;;175;;627;;;580;
03255;Holzminden;03;55950;58035;33503;27290;372;349;33131;26941;9913;9641;9336;10434;5508;2473;924;899;2759;1277;;;1902;912;167;88;188;266;435;272;72;169;234;125;98;26;558;107;56;43;46;17;11;9;2;5;3;3;116;;69;;88;;32;;31;;23;;43;;8;;40;;15;;26;;33;;34;;54;;27;;17;;14;;23;;41;;52;;33;;100;;;175;
03256;Nienburg (Weser);03;94437;95424;53561;41146;352;288;53209;40858;17389;17460;11554;13203;10762;3978;1657;1362;4601;1908;;;2554;857;323;146;324;438;693;430;114;271;351;210;159;51;1069;190;79;75;41;15;14;13;8;4;10;10;121;;88;;51;;27;;58;;31;;116;;11;;89;;30;;34;;49;;67;;94;;53;;45;;16;;34;;91;;94;;104;;204;;;237;
03257;Schaumburg;03;124384;125366;72992;63465;399;594;72593;62871;20079;23220;17483;23669;15795;5747;2296;2113;6544;3665;;;3234;1222;496;199;451;616;1153;743;114;334;549;306;300;96;1549;246;91;145;69;27;20;22;15;18;9;14;205;;115;;158;;138;;62;;41;;148;;16;;144;;56;;64;;64;;73;;164;;83;;50;;24;;65;;102;;164;;105;;305;;;469;
03351;Celle;03;139021;139565;83672;64929;435;485;83237;64444;26932;28307;15024;18159;16508;5518;2703;2004;9096;5119;;;4657;1742;807;389;462;581;1342;692;153;373;584;367;316;123;1712;275;115;161;98;41;27;27;15;9;8;16;294;;154;;215;;36;;70;;54;;186;;20;;177;;31;;51;;77;;101;;184;;115;;60;;31;;59;;116;;158;;132;;357;;;541;
03352;Cuxhaven;03;158334;158271;97886;72992;832;522;97054;72470;36581;36206;19955;20023;17489;5830;3275;2554;7845;3501;;;3709;1192;756;285;519;651;1438;786;176;347;555;265;275;106;1593;256;169;123;65;24;23;18;22;16;17;7;286;;178;;65;;36;;88;;35;;140;;13;;141;;50;;64;;71;;131;;210;;99;;68;;31;;63;;135;;200;;133;;355;;;280;
03353;Harburg;03;199955;195893;132929;102313;828;1070;132101;101243;38070;37857;21515;29461;34654;11875;4437;3738;11358;9038;;;7935;3373;1309;555;839;1331;2584;1426;192;551;843;496;721;236;2754;476;134;189;145;50;36;49;28;34;10;16;315;;193;;216;;87;;95;;89;;408;;17;;261;;73;;101;;94;;142;;293;;521;;99;;79;;102;;183;;229;;169;;771;;;492;
03354;Lüchow-Dannenberg;03;39160;39602;23088;20974;147;280;22941;20694;6175;6939;3915;4858;6558;5302;1269;1125;1710;1028;;;896;383;125;59;121;211;333;244;39;121;167;90;151;24;595;122;29;35;11;7;12;19;11;13;6;11;73;;35;;39;;2;;64;;15;;107;;3;;32;;11;;20;;30;;24;;38;;25;;23;;7;;92;;19;;36;;32;;91;;;103;
03355;Lüneburg;03;142507;139750;95397;74254;666;740;94731;73514;23611;23150;17596;22690;27046;12962;4530;3840;7151;4411;;;3914;1892;515;203;724;1382;1728;911;216;496;567;378;608;168;2614;514;112;118;84;12;33;42;15;14;7;10;262;;144;;77;;53;;175;;54;;393;;17;;160;;70;;87;;85;;125;;184;;132;;90;;44;;168;;142;;189;;135;;874;;;321;
03356;Osterholz;03;90731;89145;56826;44314;310;354;56516;43960;16084;15596;11606;15395;13754;5085;2714;2106;4550;2538;;;2699;1003;344;123;317;564;818;534;89;217;355;197;201;65;1105;169;73;86;42;18;17;23;11;9;6;5;173;;99;;73;;32;;54;;29;;155;;10;;115;;27;;33;;44;;63;;122;;55;;44;;19;;40;;118;;109;;66;;251;;;227;
03357;Rotenburg (Wümme);03;129318;128196;80401;71135;456;669;79945;70466;28225;33585;14467;19570;17223;6859;2641;2162;5814;2990;;;4221;1406;768;446;476;819;1074;740;164;447;557;384;249;94;1708;340;111;155;59;37;17;18;16;13;13;9;207;;142;;107;;35;;62;;40;;159;;15;;125;;34;;45;;66;;93;;114;;78;;67;;29;;52;;108;;116;;123;;325;;;392;
03358;Heidekreis;03;108608;109018;64342;55676;406;664;63936;55012;19910;22823;14195;17879;12856;5054;1987;1730;5766;3020;;;3243;1327;442;262;380;547;984;700;147;490;454;337;258;95;1179;207;109;126;47;37;28;21;8;12;11;8;201;;118;;107;;22;;73;;32;;117;;23;;138;;47;;52;;49;;94;;126;;70;;47;;25;;48;;85;;112;;101;;245;;;337;
03359;Stade;03;157508;155555;98083;74562;593;620;97490;73942;30779;31283;18491;22706;22224;7336;3434;2573;8245;4572;;;4715;1618;842;358;784;743;1558;979;238;514;654;323;361;105;1965;375;126;109;67;17;24;32;15;23;14;12;249;;140;;80;;92;;85;;69;;212;;8;;160;;50;;58;;86;;87;;168;;182;;70;;51;;65;;147;;166;;108;;621;;;264;
03360;Uelzen;03;74964;75619;46290;37733;375;332;45915;37401;15072;14667;9168;11909;9501;4441;1550;1330;4038;2226;;;2348;808;225;98;327;513;651;427;89;240;300;193;191;73;906;159;44;53;27;12;21;13;9;14;7;6;144;;78;;67;;13;;51;;24;;87;;11;;80;;37;;24;;48;;58;;99;;61;;39;;13;;42;;71;;83;;76;;235;;;219;
03361;Verden;03;105973;104680;68058;55868;498;435;67560;55433;20584;20867;14118;18480;15916;6824;2396;2169;5242;2915;;;3132;1297;555;146;380;634;929;691;101;296;394;300;270;89;1368;263;84;102;30;12;15;12;12;16;5;4;201;;101;;82;;89;;73;;42;;157;;11;;103;;39;;56;;58;;78;;107;;67;;52;;35;;66;;106;;128;;88;;290;;;316;
03401;Delmenhorst, Stadt;03;56279;57777;29611;25765;259;368;29352;25397;7315;8494;6500;9691;5907;2155;1434;1232;3480;1645;;;1403;523;262;128;198;378;607;328;48;230;224;159;100;49;716;118;53;63;28;11;7;21;5;6;5;4;102;;53;;18;;118;;29;;20;;58;;7;;71;;16;;20;;33;;25;;108;;39;;21;;11;;25;;33;;61;;64;;128;;;162;
03402;Emden, Stadt;03;37967;38973;22907;14006;333;123;22574;13883;4188;3358;6545;6304;4876;1731;1282;724;2134;661;;;1102;390;136;34;200;154;399;140;50;89;178;59;47;19;617;78;51;21;15;6;31;23;5;13;3;4;66;;27;;33;;13;;19;;21;;38;;4;;56;;14;;12;;22;;32;;43;;26;;27;;7;;15;;46;;52;;39;;103;;;75;
03403;Oldenburg (Oldenburg), Stadt;03;129795;126358;84221;59915;388;338;83833;59577;16019;15742;14420;17780;29947;12798;5395;4594;4379;3320;;;3885;1764;445;252;619;1047;1231;698;100;265;347;183;579;161;3148;558;92;88;39;17;55;72;29;26;9;8;204;;120;;53;;105;;110;;50;;400;;8;;114;;26;;51;;48;;101;;135;;289;;58;;51;;168;;219;;106;;86;;593;;;204;
03404;Osnabrück, Stadt;03;123608;120658;79178;61488;393;501;78785;60987;18653;20772;13966;17945;26208;10892;4182;3560;3780;2530;;;3762;2103;301;179;559;969;857;521;73;234;262;198;456;182;2711;426;71;74;39;22;42;43;25;22;8;13;139;;79;;96;;217;;96;;44;;312;;5;;109;;31;;44;;40;;60;;90;;95;;48;;48;;196;;257;;85;;61;;678;;;302;
03405;Wilhelmshaven, Stadt;03;61706;64170;32937;24125;315;219;32622;23906;8502;8247;8470;8311;6412;2264;1231;1192;3021;1662;;;1431;697;325;171;176;286;483;316;57;208;231;113;93;38;879;130;53;68;66;13;17;16;18;23;2;6;101;;49;;15;;11;;31;;24;;90;;5;;72;;24;;17;;23;;47;;63;;93;;24;;14;;25;;80;;75;;54;;218;;;145;
03451;Ammerland;03;97566;95337;63255;46951;463;569;62792;46382;19150;18939;12396;13847;14780;5229;2164;1585;4419;2960;;;3766;1603;415;172;357;440;949;559;98;224;498;255;597;79;1314;204;94;87;37;16;16;22;7;8;9;6;181;;95;;35;;30;;50;;32;;97;;17;;101;;31;;29;;39;;70;;99;;156;;34;;22;;46;;84;;90;;103;;285;;;147;
03452;Aurich;03;153372;152222;92401;77325;1377;1502;91024;75823;22122;23466;26003;33499;17673;7181;3462;2724;8282;3358;;;4382;1363;844;416;572;762;1563;970;185;586;711;409;288;131;1752;309;131;130;63;29;24;38;23;17;29;10;367;;170;;146;;33;;97;;54;;152;;14;;187;;79;;53;;90;;163;;170;;107;;65;;31;;59;;106;;234;;153;;385;;;425;
03453;Cloppenburg;03;120227;117936;66148;59731;407;643;65741;59088;31400;37509;8862;11485;10264;2726;1797;1402;4903;2187;;;3639;1332;284;166;349;386;582;394;104;249;549;416;208;57;1169;155;62;87;23;16;6;13;8;7;7;12;131;;62;;206;;16;;32;;41;;53;;3;;89;;21;;33;;40;;74;;93;;82;;39;;18;;27;;90;;61;;82;;232;;;489;
03454;Emsland;03;239069;236116;150178;121346;991;843;149187;120503;73445;75593;22028;24940;24494;6830;3611;2789;8120;3703;;;7597;2625;539;246;718;927;1346;834;190;406;948;483;331;115;2587;333;118;143;69;25;26;26;12;25;16;10;240;;155;;118;;38;;92;;73;;165;;15;;161;;60;;72;;92;;151;;155;;133;;68;;36;;51;;174;;193;;193;;557;;;450;
03455;Friesland;03;81384;80352;50517;39529;527;579;49990;38950;13854;13743;12575;14197;10287;4000;1705;1305;3873;2331;;;2663;1274;297;177;293;403;846;537;76;226;381;219;191;60;1179;162;71;73;37;18;18;23;18;14;7;10;179;;94;;27;;18;;44;;35;;93;;14;;96;;34;;26;;61;;60;;107;;148;;46;;24;;42;;64;;106;;81;;220;;;178;
03456;Grafschaft Bentheim;03;97968;97142;65766;49591;427;294;65339;49297;25492;25404;15485;14935;12069;3314;1724;1190;3088;1361;;;3063;1182;243;84;292;405;669;416;73;139;395;209;286;164;957;160;65;45;53;12;22;29;10;12;6;4;175;;79;;79;;42;;28;;24;;76;;11;;66;;19;;32;;42;;67;;64;;38;;36;;22;;35;;51;;95;;70;;196;;;232;
